Date,Symbol,r_lag1,r_lag5_mean,r_lag5_std,cs_rank,hype_score,degree_cen,mention_10d,sentiment_5d,y_sign_next,r_next,comm_Community_1,comm_Community_10,comm_Community_11,comm_Community_12,comm_Community_13,comm_Community_14,comm_Community_2,comm_Community_3,comm_Community_4,comm_Community_5,comm_Community_6,comm_Community_7,comm_Community_8,comm_Community_9
2026-01-23,KTC,-0.018018066688003542,6.552821207943538e-05,0.012770304410467177,0.22,0.3257950366470686,0.0408163265306122,7.0,0.0,1,0.018348674325639358,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-23,LH,-0.024630523046484942,0.004233720851412315,0.018908047071888208,0.16,0.2735033172691258,0.0,0.0,0.0,0,-0.0050504513396215645,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-23,MINT,-0.02553190573685349,0.005456724208327568,0.018137047170404135,0.12,0.4943019943019943,0.2040816326530612,0.0,0.0,1,0.004366753998915618,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-23,MTC,-0.015267196673350969,0.01822215336757409,0.024462244867431704,0.3,0.2887361173649064,0.0,0.0,0.0,1,0.015503897729185923,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-01-23,OR,-0.006536006793566473,0.014244413686896263,0.03741463658433703,0.52,0.6153782616814699,0.2857142857142857,4.0,0.0,0,-0.05263154522280933,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2026-01-23,OSP,-0.028735679441621698,-0.00901169564942359,0.022200211316611575,0.08,0.338970421015203,0.0612244897959183,0.0,0.0,1,0.00591723936695665,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-01-23,PTT,0.0,0.0045337394131587105,0.008533947627212586,0.68,0.7728921116235123,0.4285714285714285,3.0,0.0,0,-0.007407506800866659,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-01-23,PTTEP,0.012820525801194194,0.004313391684708257,0.009953144093097319,0.88,0.6813255353395934,0.4489795918367346,3.0,0.0,1,0.008438804786452314,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-01-23,PTTGC,-0.012096720478800504,0.007924718509132189,0.03237322595027052,0.4,0.6382595769495901,0.4693877551020408,1.0,0.0,1,0.020408124414768247,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-01-23,RATCH,-0.01612900470376577,0.003400217095728819,0.014945204496007305,0.26,0.2677087625191304,0.0,0.0,0.0,1,0.008196707078914178,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-01-23,SAWAD,0.004032270034367791,0.012589228741117297,0.014676213601110254,0.72,0.3498375384972611,0.0816326530612244,0.0,0.0,1,0.034136608210248554,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-01-23,SCB,-0.0036232063823056215,-0.002862161036884148,0.0073607328455857985,0.62,0.7988495394135452,0.4693877551020408,23.0,0.0,0,-0.01818179015832977,0,0,0,0,0,0,0,0,1,0,0,0,0,0
